"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
1,12/31/2025 0:00:00,2,0,0,0,0,8830888,3009124,0,13313120,0,8830888,3009124,0,0,0,0,8,0,0,0,0,122024,0,0,0,0,0,0,0,0,593369,0,99539,0,0,0,0,0,0,0,0,0,0,0,34806,0,0,0,0,0,0,0,0,211087,2594,13796,194372,710,7552,18454,0,0,0,0,2112,6239,3834126,0,0,1899072,0,0,0,0,0,898530,0,0,0,0,161,365,0,1254,73,0,1853,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,692908,0,87485,218212,0,88544,0,2361,0,0,0,0,0,0,0,0,90155,1711038,0,0,0,0,0,0,0,0,0,0,1465455,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,52058,1669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12/31/2025 0:00:00,7,0,0,0,0,210280089,1663518,1626618,283763684,0,213459089,30488518,1626618,0,0,0,276,0,0,0,0,122024,0,0,0,0,0,0,0,0,15632414,0,1337256,0,0,0,0,0,0,0,0,0,0,0,1546232,0,0,0,0,0,0,0,0,8016330,324626,884515,4894137,464002,862215,484005,0,0,0,0,51404,100360,70226435,0,0,37696163,0,0,0,0,20967582,29670666,0,0,-223829,2003363,1328,13994,416,30905,215,88,77702,0,0,0,0,0,0,0,0,0,0,0,0,0,93,7,0,0,0,0,0,0,16969670,0,6076094,3608362,0,2559330,0,556993,217732,0,7000000,0,0,0,0,0,4436966,31529759,0,0,0,0,0,0,0,0,0,0,32629865,1150,0,0,0,547600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,5078807,0,0,0,0,0,0,0,0,0,21560000,0,0,9250355,1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12/31/2025 0:00:00,11,0,0,0,0,58012630,1679159,1453780,67209412,0,58012630,1679159,1453780,0,0,0,182,0,0,0,0,32025,0,0,0,0,0,0,0,0,3297652,0,759098,0,0,0,0,0,0,0,0,0,0,0,1415693,0,0,0,0,0,0,0,0,2010384,43451,464700,764994,83954,788051,728964,0,0,0,0,9263,11651,4687288,0,0,4235087,0,0,0,0,3156083,11132510,0,0,0,22,252,6116,145,12554,521,345,19933,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,4056750,0,2569192,492531,0,311771,0,180000,12862,0,0,0,0,0,0,0,821551,3363195,0,0,0,0,0,0,0,0,-825357,0,6576288,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,0,0,8376528,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12/31/2025 0:00:00,12,0,0,0,0,702482476,265926637,37025031,1240594180,0,746077539,296939637,37025031,0,0,0,144,0,0,0,0,122024,0,0,0,0,0,0,0,0,64423797,0,4316489,0,0,0,0,0,0,0,0,0,0,0,6752301,0,0,0,0,0,0,0,0,14036534,293708,1226325,9839960,975082,2682293,948591,0,43896,0,0,201889,107800,302152052,0,0,322889628,0,0,0,0,10552642,24839996,0,0,-41971,135644,9370,35828,2521,77442,166,1142,126490,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,68740286,0,13452075,36070061,0,11809688,0,0,0,0,15000000,0,0,0,0,0,7987437,80440123,0,0,0,0,0,0,0,0,-532965,0,120630174,972,0,49619029,0,863308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20384,584135414,0,0,0,0,0,27000000,7000000,0,34000000,276659796,0,0,618223,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2107358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12/31/2025 0:00:00,14,0,0,0,0,7418860,0,0,8684586,0,7418860,0,0,0,0,0,2,0,0,0,0,22025,0,0,0,0,0,0,0,0,210214,0,186567,0,0,0,0,0,0,0,0,0,0,0,24123,0,0,0,0,0,0,0,0,210917,0,3600,59947,1220,101003,15488,0,0,0,0,1796,-3339,1487870,0,0,979925,0,0,0,0,134768,173043,0,0,0,0,71,331,6,1067,0,0,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,396781,0,55032,57493,0,3688,0,40341,24725,0,0,0,0,0,0,0,106933,670399,0,0,0,0,0,0,0,0,0,0,1293080,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12/31/2025 0:00:00,16,0,0,0,0,6935130,0,0,10172708,0,6935130,0,0,0,0,0,0,0,0,0,0,92025,0,0,0,0,0,0,0,0,102415,0,318624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81249,0,17797,8755,217,4524,23036,0,0,0,0,1865,2471,786668,0,0,240410,0,0,0,0,0,359999,0,0,0,0,0,0,0,1691,0,0,1691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,421039,0,0,120631,0,160494,2857,0,0,0,0,0,0,0,0,0,30,1028920,0,0,0,0,0,0,0,0,0,0,3234346,3179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2025 0:00:00,17,0,0,0,0,288019612,3632877,1274720,354175842,0,288019612,3632877,1274720,0,0,0,24,0,0,0,0,92025,0,0,0,0,0,0,0,0,13823177,0,4180585,0,0,0,0,0,0,0,0,0,0,0,321075,0,0,0,0,0,0,0,0,3221872,79171,383468,1834285,225988,1156252,981900,0,114679,0,0,61754,160145,41211147,0,0,12006011,0,0,0,0,13584814,13641707,0,0,0,0,4769,12131,1314,23393,0,1479,43086,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,18003762,0,2049148,5910548,0,5872919,0,0,472497,0,0,0,0,0,0,0,1177667,19305342,0,0,0,0,0,0,0,0,166506,0,59357965,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35325095,0,0,139442,1693.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,12/31/2025 0:00:00,19,0,0,0,0,16784190,2669508,0,21831577,0,16784190,2669508,0,0,0,0,1,0,0,0,0,122024,0,0,0,0,0,0,0,0,350778,0,499292,0,0,0,0,0,0,0,0,0,0,0,115235,0,0,0,0,0,0,0,0,297001,497,44704,104873,8126,17456,184855,0,0,0,0,3985,40245,1139869,0,0,2075372,0,0,0,0,327721,220048,0,0,0,0,140,607,0,1144,25,0,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,850070,0,115235,131959,0,147236,0,111464,0,0,0,0,0,0,0,0,335806,1916386,0,0,0,0,0,0,0,0,0,0,2295204,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,23314,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2025 0:00:00,21,0,0,0,0,1091171849,107430158,2376373,1462498628,0,1100479849,117683158,2376373,0,0,0,1190,0,0,0,0,62025,0,0,0,0,0,0,0,0,90968496,0,15218560,0,0,0,0,0,0,0,0,0,0,0,14824447,0,0,0,0,0,0,0,0,33968251,876357,4028466,5336208,2205646,1886531,6905517,0,0,0,0,251724,794981,425842873,0,0,39212505,0,0,0,0,0,48525351,0,0,0,377379,12194,56194,2963,228714,0,5473,325099,0,0,0,0,0,0,0,0,0,0,0,0,0,303,26,0,0,0,0,0,0,106187056,0,22395238,40720866,0,11276426,0,5359,39841,0,0,0,0,0,0,1428012242,8399648,8923128,0,0,0,0,0,0,0,0,298167,0,135992974,951,0,398030349,0,780378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19354,375435892,0,0,0,0,0,60000000,0,25961339,85961339,587396744,0,0,94781970,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12182202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,12/31/2025 0:00:00,29,0,0,0,0,134765130,1831142,728886,156073004,0,134765130,1831142,728886,0,0,0,85,0,0,0,0,92025,0,0,0,0,0,0,0,0,4658282,0,2506207,0,0,0,0,0,0,0,0,0,0,0,1430180,0,0,0,0,0,0,0,0,2252991,96125,191105,642330,79035,413428,1670803,0,72004,0,0,27327,153781,8438810,0,0,14671770,0,0,0,0,3231101,3693800,0,0,0,0,915,8008,328,13568,29,257,23105,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,7164489,0,1422452,1335977,0,1234302,0,66000,37541,0,0,0,0,0,0,155412033,1230673,10417126,0,0,0,0,0,0,0,0,0,0,17519296,1127,0,0,0,6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,96657,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
