"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,12/31/2025 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
6,12/31/2025 0:00:00,7,0,0,0,0,0,0,1339832,0,0,0,0,0,0,0,35743604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15758,0,0,4913503,42080185,0,0,0,0,67488,16,1,1,3,0,0,1,1,3,0,4,1,5,8,0,0,0,12,17,202,228,0,0,0,0,0,0,676
12,12/31/2025 0:00:00,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2640665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413092,0,0,0,3081239,0,0,0,0,27482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,114,0,0,0,0,0,0,21
13,12/31/2025 0:00:00,12,0,0,0,0,0,0,63769227,0,0,0,0,0,0,0,33874023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30628279,128492737,0,0,0,0,221208,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,3,2033,1746,0,0,0,0,0,0,934
16,12/31/2025 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40661,0,0,0,358998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,4
19,12/31/2025 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
22,12/31/2025 0:00:00,17,0,0,0,0,0,0,88826431,0,0,0,0,0,0,0,49573540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489679,0,0,40722,138961159,0,0,0,0,30787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2719,0,0,0,0,0,0,104
26,12/31/2025 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777431,0,0,0,0,118952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,56
28,12/31/2025 0:00:00,21,0,0,0,0,0,0,92484584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17666830,0,0,0,0,9551508,0,0,472634,161958564,0,0,0,0,59449838,340,10,0,7,0,0,0,0,182,10,226,10,267,107,0,11,0,127,350,2107,4276,15,0,0,0,0,0,2963
42,12/31/2025 0:00:00,29,0,0,0,0,0,0,17113735,0,0,0,0,0,0,0,9273663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27210055,0,0,0,0,822657,7,0,0,0,0,0,1,0,5,0,6,0,6,1,0,0,0,1,7,193,588,0,0,0,0,0,0,35
