"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
1,12/31/2025 0:00:00,2,0,0,90155,0,1,0,36664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16721,0,0,0,16721,0,0,0,0,0,11847665,0,0,0,0,0,0,0,0,03/01/2023,7500,13313120,0,0,0,0,0,0,0,0,0,0,0,52679,0,0,0,0,0,0,0,0,0,0
6,12/31/2025 0:00:00,7,0,0,4436966,0,1,0,2351357,0,0,0,0,0,0,0,0,0,0,0,0,5090738,10393608,1326802,1962134,0,18773280,0,0,0,0,0,0,0,-732744,0,795685,0,0,793,796478,0,0,0,0,58974,258866563,0,0,0,0,0,0,0,0,01/01/2023,0,283763684,0,0,0,0,0,0,0,0,0,0,0,2743236,0,0,7092,0,0,59,1568634,0,0,0
12,12/31/2025 0:00:00,11,0,0,785009,36542,1,0,1277636,0,0,325000,0,0,325000,0,0,0,0,0,0,0,0,0,0,0,0,1990558,742789,481693,0,0,3215040,0,0,0,916228,0,0,0,916228,0,0,0,0,0,61458481,0,0,0,0,0,0,0,0,04/01/2023,0,67209412,0,0,0,0,0,0,0,0,0,0,0,1153477,0,0,0,0,0,0,0,0,0,0
13,12/31/2025 0:00:00,12,0,80196145,3973977,4013460,1,0,4062703,0,0,0,0,0,0,0,0,0,0,0,0,116611,29582,0,0,0,146193,0,0,0,0,0,0,0,-4257,0,3956534,0,0,0,3956534,0,0,0,0,0,1135501228,0,0,0,0,0,0,0,0,01/01/2023,2278236,1240594180,0,0,0,0,0,0,0,0,0,0,0,6553511,0,0,0,0,0,0,0,0,0,0
16,12/31/2025 0:00:00,14,0,0,106933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7391506,0,0,0,0,0,0,0,0,,0,8684586,0,0,0,0,0,0,0,0,0,0,0,30909,0,0,0,0,0,0,0,0,0,0
19,12/31/2025 0:00:00,16,0,0,30,0,1,0,30588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6671000,978000,0,0,0,7649000,0,0,0,0,0,0,0,0,0,0,0,0,0,6938362,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,10172708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2025 0:00:00,17,0,18967616,419905,757762,1,0,1508480,3952295,0,0,0,0,3952295,0,0,0,0,0,0,1750290,2080803,15742926,0,2683047,22257066,0,0,0,0,0,0,0,-1321951,0,49929,0,0,0,49929,0,0,0,0,0,296159751,0,0,0,0,0,0,0,0,12/01/2023,564939,354362271,0,0,0,0,0,0,0,0,0,0,0,1570625,0,157396,52,0,0,0,0,0,0,0
26,12/31/2025 0:00:00,19,0,0,335806,0,1,0,49714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19536373,0,0,0,0,0,0,0,0,01/01/2023,53172,21831577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2025 0:00:00,21,0,8177268,8399648,0,1,0,22232108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10599229,14441925,0,25041154,0,0,0,0,0,0,0,-8897863,0,20331321,0,0,0,20331321,0,0,0,0,0,1336968826,9,169447,65808,0,0,0,2,4491,07/01/2023,5646897,1464362104,0,0,0,0,0,0,0,0,0,0,0,13499169,0,0,-5345753,0,0,2,11264573,0,0,0
42,12/31/2025 0:00:00,29,0,0,1230673,0,1,0,472120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8798000,11632000,4288000,0,0,24718000,0,0,0,417733,0,0,0,417733,0,0,0,0,0,138586156,0,0,0,0,0,0,0,0,10/01/2023,100174,156106061,0,0,0,0,0,0,0,0,0,0,0,-7728,0,0,0,0,0,0,0,0,0,0
47,12/31/2025 0:00:00,30,0,0,280024,0,1,0,117308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,20000,0,0,0,0,0,50470132,0,0,0,0,0,0,0,0,02/01/2023,0,57432139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,12/31/2025 0:00:00,31,0,0,813062,0,1,0,346190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549000,5350000,1500000,0,0,7399000,0,0,0,404798,0,0,1726,406524,0,0,0,0,2323,52232914,0,0,0,0,0,0,0,0,Fiscal Year 2022,166396,65182841,0,0,0,0,0,0,0,0,0,0,0,478971,0,0,0,0,0,0,0,0,0,0
51,12/31/2025 0:00:00,32,0,606491886,36559352,16440554,1,0,67130175,60284,0,0,1136165,6785280,7981729,0,0,0,0,0,0,2183773,59364850,134322888,461321429,10245750,667438690,94231304,23268489,52950083,21119178,2224181,193793235,0,-130654894,0,22945664,-1470,0,156104,23100298,0,0,0,0,395795,8267969010,2,24594,24594,0,0,0,2,24594,01/01/2023,23240646,8993515377,0,0,0,0,0,0,0,0,0,0,0,61237207,0,534989,48627,0,0,0,0,0,0,-4355
53,12/31/2025 0:00:00,33,0,0,675427,0,1,0,367986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,500000,0,0,0,175608,0,0,0,175608,0,0,0,0,0,55240415,0,0,0,0,0,0,0,0,01/01/2023,0,61032254,0,0,0,0,0,0,0,0,0,0,0,251541,0,0,0,0,0,0,0,0,0,0
60,12/31/2025 0:00:00,35,0,61240244,1649457,1771750,1,0,4598651,0,0,0,0,0,0,0,0,0,0,0,0,12856635,9883335,19396487,8993090,0,51129547,0,0,0,0,0,0,0,-2806451,0,3744500,0,0,0,3744500,0,0,0,0,0,457490308,0,0,0,0,0,0,0,0,04/01/2023,663863,508163987,0,0,0,0,0,0,0,0,0,0,0,4861032,0,0,0,0,0,242,688631,0,0,0
77,12/31/2025 0:00:00,41,0,7936794,844294,0,1,0,1023314,0,0,0,0,0,0,0,0,0,0,0,0,2077094,10377313,12746089,3369978,0,28570475,0,0,0,0,0,0,0,-2172054,0,735181,0,0,0,735181,0,0,0,0,0,189315325,0,0,0,0,0,0,0,0,07/01/2023,-250000,205750668,0,0,0,0,0,0,0,0,0,0,0,331801,0,0,0,1,675778,130,5316897,0,0,0
79,12/31/2025 0:00:00,43,0,58805762,4449527,2192866,1,0,3005810,0,0,0,0,0,0,0,0,0,0,0,0,14035880,34597450,24739749,32657852,1231753,107262684,0,0,0,0,0,0,0,-7654935,0,1660000,0,0,0,1660000,0,0,0,0,129,839450187,0,0,0,0,0,0,0,0,01/01/2023,1317646,925671431,0,0,0,0,0,0,0,0,0,0,0,5321494,0,0,-262356,0,0,0,0,0,0,0
82,12/31/2025 0:00:00,46,0,62375816,645397,0,1,0,2263665,0,0,0,0,0,0,0,0,0,0,0,0,7082166,19289792,0,0,0,26371958,8031316,6125000,0,0,0,14156316,0,17686,0,1430000,0,0,0,1430000,0,0,0,0,0,278764148,0,0,0,0,0,0,0,0,01/01/2023,365808,321760708,0,0,0,0,0,0,0,0,0,0,0,2040115,0,0,0,0,0,7,4255200,0,0,0
90,12/31/2025 0:00:00,49,0,0,0,0,1,0,53212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550679,0,0,0,0,0,0,0,0,03/01/2023,58827,7580603,0,0,0,0,0,0,0,0,0,0,0,7173,0,0,0,0,0,0,0,0,0,0
98,12/31/2025 0:00:00,54,0,0,200,0,1,0,19947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,3580000,0,0,0,5580000,0,0,0,-3140,0,0,0,-3140,0,0,0,0,0,9519413,0,0,0,0,0,0,0,0,03/01/2023,0,11750343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
