"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_LQ0018","ACCT_LQ0019","ACCT_LQ0020","ACCT_LQ0021","ACCT_LQ0022","ACCT_LQ0023","ACCT_LQ0024","ACCT_LQ0025","ACCT_LQ0026","ACCT_LQ0027","ACCT_LQ0028","ACCT_LQ0029","ACCT_LQ0030","ACCT_LQ0034","ACCT_LQ0035","ACCT_LQ0038","ACCT_LQ0039","ACCT_LQ0040","ACCT_LQ0042","ACCT_LQ0043","ACCT_LQ0044","ACCT_LQ0045","ACCT_LQ0046","ACCT_LQ0047","ACCT_LQ0052","ACCT_LQ0053","ACCT_LQ0056","ACCT_LQ0059","ACCT_LQ0860","ACCT_NV0001","ACCT_NV0002","ACCT_NV0003","ACCT_NV0004","ACCT_NV0013","ACCT_NV0014","ACCT_NV0015","ACCT_NV0016","ACCT_NV0017","ACCT_NV0018","ACCT_NV0019","ACCT_NV0020","ACCT_NV0021","ACCT_NV0022","ACCT_NV0023","ACCT_NV0024","ACCT_NV0025","ACCT_NV0026","ACCT_NV0027","ACCT_NV0028","ACCT_NV0029","ACCT_NV0030","ACCT_NV0031","ACCT_NV0032","ACCT_NV0033","ACCT_NV0034","ACCT_NV0035","ACCT_NV0036","ACCT_NV0037","ACCT_NV0038","ACCT_NV0039","ACCT_NV0040","ACCT_NV0041","ACCT_NV0042","ACCT_NV0043","ACCT_NV0044","ACCT_NV0045","ACCT_NV0046","ACCT_NV0047","ACCT_NV0048","ACCT_NV0049","ACCT_NV0050","ACCT_NV0051","ACCT_NV0052","ACCT_NV0053","ACCT_NV0054","ACCT_NV0055","ACCT_NV0056","ACCT_NV0057","ACCT_NV0058","ACCT_NV0059","ACCT_NV0060","ACCT_NV0061","ACCT_NV0062","ACCT_NV0063","ACCT_NV0064","ACCT_NV0065","ACCT_NV0066","ACCT_NV0067","ACCT_NV0068","ACCT_NV0069","ACCT_NV0070","ACCT_NV0071","ACCT_NV0072","ACCT_NV0073","ACCT_NV0074","ACCT_NV0075","ACCT_NV0076","ACCT_NV0077","ACCT_NV0078","ACCT_NV0079","ACCT_NV0080","ACCT_NV0081","ACCT_NV0083","ACCT_NV0084","ACCT_NV0087","ACCT_NV0088","ACCT_NV0089","ACCT_NV0090","ACCT_NV0091","ACCT_NV0092","ACCT_NV0093","ACCT_NV0094","ACCT_NV0095","ACCT_NV0096","ACCT_NV0097","ACCT_NV0098","ACCT_NV0099","ACCT_NV0100","ACCT_NV0101","ACCT_NV0102","ACCT_NV0103","ACCT_NV0104","ACCT_NV0105","ACCT_NV0106","ACCT_NV0107","ACCT_NV0108","ACCT_NV0109","ACCT_NV0110","ACCT_NV0111","ACCT_NV0112","ACCT_NV0113","ACCT_NV0114","ACCT_NV0115","ACCT_NV0116","ACCT_NV0122","ACCT_NV0128","ACCT_NV0134","ACCT_NV0140","ACCT_NV0141","ACCT_NV0142","ACCT_NV0143","ACCT_NV0144","ACCT_NV0145","ACCT_NV0146","ACCT_NV0153","ACCT_NV0154","ACCT_NV0155","ACCT_NV0156","ACCT_NV0157","ACCT_NV0158","ACCT_NV0159","ACCT_NV0160","ACCT_NV0161","ACCT_NV0162","ACCT_NV0169","ACCT_NV0170","ACCT_NV0172","ACCT_NV0173","ACCT_SL0036","ACCT_SL0037","ACCT_SL0038","ACCT_SL0039","ACCT_SL0041","ACCT_SL0043","ACCT_SL0045","ACCT_SL0047","ACCT_SL0049","ACCT_SL0051","ACCT_SL0053","ACCT_SL0055","ACCT_SL0056","ACCT_SL0057","ACCT_SL0058","ACCT_SL0059","ACCT_RB0001","ACCT_RB0002","ACCT_RB0003","ACCT_RB0004","ACCT_RB0005","ACCT_RB0006","ACCT_RB0007","ACCT_RB0008","ACCT_RB0009","ACCT_RB0010","ACCT_RB0011","ACCT_RB0012","ACCT_RB0013","ACCT_RB0014","ACCT_RB0015","ACCT_RB0016","ACCT_RB0017","ACCT_RB0018","ACCT_RB0019","ACCT_RB0020","ACCT_RB0021","ACCT_RB0022","ACCT_RB0023","ACCT_RB0024","ACCT_RB0025"
1,12/31/2025 0:00:00,2,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2650000,0,0,0,0,2650000,0,0,0,0,0,2361,0,0,0,2361,2650000,2361,0,0,0,2652361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1465455,36664,0,0,36664,0,0,0,104562,1397557,0,1397557,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12/31/2025 0:00:00,7,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,10597040,10114568,0,0,0,0,0,0,10597040,10114568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8908983,8658712,0,0,0,0,0,19506023,18773280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108687,98027,0,0,0,206714,0,0,18773282,0,0,0,0,0,556993,556993,5199425,10491635,1326802,1962134,556993,19536989,0,7092,0,7092,0,0,0,0,3425551,1568634,0,173395432,1717958,14814,0,25837086,0,0,0,0,5482030,918016,0,31704340,25629865,2410331,0,0,2410331,0,0,0,2339888,25700308,0,25700308,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12/31/2025 0:00:00,11,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2468004,2462643,0,0,499036,493080,0,0,0,0,0,0,499036,493080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248000,248000,0,0,0,0,0,0,3215040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325000,325000,325000,11699056,5723000,0,0,0,17422056,325000,0,0,3215040,210300,0,0,0,0,210300,13899914,6465789,806693,0,0,21172396,0,0,0,0,0,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6576288,1277636,0,0,1277636,0,0,0,579108,7274816,0,7274816,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12/31/2025 0:00:00,12,Subm,0,0,0,49619029,0,0,0,0,0,0,0,0,0,0,322889628,0,0,161659796,0,419394875,0,0,0,0,0,0,0,0,49000000,0,0,0,0,0,0,0,0,0,0,150450,146193,0,0,150450,146193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150450,146193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,100000,0,0,146193,0,0,5374620,0,0,0,5374620,216611,5404202,0,0,0,5620813,0,0,0,0,0,0,0,0,0,0,1234172,7191122,0,0,0,0,0,0,0,0,0,0,0,0,105630174,4062703,0,0,4062703,0,0,0,10120156,99572721,0,99572721,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12/31/2025 0:00:00,14,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750000,2439000,0,0,0,4189000,0,0,0,0,40341,0,0,0,0,40341,1790341,2439000,0,0,0,4229341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293080,43140,0,0,43140,0,0,0,80491,1255729,0,1255729,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12/31/2025 0:00:00,16,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7649000,7649000,0,0,7649000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7649000,2857,0,0,0,0,2857,6673857,978000,0,0,0,7651857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3234346,30588,0,0,30588,0,0,0,65179,3199755,0,3199755,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2025 0:00:00,17,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7797941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23579017,22257066,0,0,23579017,22257066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23579017,22257066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201968,2750327,3952295,3952295,45720000,0,0,0,0,45720000,3952295,0,22257066,0,15000000,168000,0,0,0,15168000,66422585,2248803,15742926,0,2683047,87097361,52,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59171536,1508480,0,0,1508480,0,0,0,2750354,57929662,0,57929662,0,0,0,0,0,0,0,0,0,0,0,0,0
26,12/31/2025 0:00:00,19,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3428000,3771000,6252000,0,0,13451000,0,0,0,0,111464,0,0,0,0,111464,3539464,3771000,6252000,0,0,13562464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2295204,49714,0,0,49714,0,0,0,182886,2162032,0,2162032,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2025 0:00:00,21,Subm,0,0,0,1516654,0,0,0,0,0,0,0,0,0,0,342375767,0,0,378423478,0,547683706,0,0,0,34723406,0,0,0,0,85961339,0,0,0,0,0,0,0,0,0,0,33939017,25041154,0,0,33939017,25041154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33939017,25041154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25041154,0,0,18749759,0,36300000,0,55049759,0,18749759,10599229,50741925,0,80090913,0,-5345753,0,-5345753,0,13942857,0,0,0,0,1984557,0,0,0,0,0,0,0,11264573,0,0,0,0,0,134129498,22232108,0,0,22232108,0,0,0,11401128,144960478,0,144960478,0,0,0,0,0,0,0,0,0,0,0,0,0
42,12/31/2025 0:00:00,29,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600000,9600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15118000,15118000,0,0,0,0,0,0,24718000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16400000,7213000,0,0,0,23613000,0,0,0,24718000,0,0,0,0,66000,66000,25198000,18845000,4288000,0,66000,48397000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17486848,472120,0,0,472120,0,0,0,1244781,16714187,0,16714187,0,0,0,0,0,0,0,0,0,0,0,0,0
