"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_RB0026","ACCT_RB0027","ACCT_RB0028","ACCT_RB0029","ACCT_RB0030","ACCT_RB0031","ACCT_RB0032","ACCT_RB0033","ACCT_RB0034","ACCT_RB0035","ACCT_RB0036","ACCT_RB0037","ACCT_RB0038","ACCT_RB0039","ACCT_RB0040","ACCT_RB0041","ACCT_RB0042","ACCT_RB0043","ACCT_RB0044","ACCT_RB0045","ACCT_RB0046","ACCT_RB0047","ACCT_RB0048","ACCT_RB0049","ACCT_RB0050","ACCT_RB0051","ACCT_RB0052","ACCT_RB0053","ACCT_RB0054","ACCT_RB0055","ACCT_RB0056","ACCT_RB0057","ACCT_RB0058","ACCT_RB0059","ACCT_RB0060","ACCT_RB0061","ACCT_RB0062","ACCT_RB0063","ACCT_RB0064","ACCT_RB0065","ACCT_RB0066","ACCT_RB0067","ACCT_RB0068","ACCT_RB0069","ACCT_RB0070","ACCT_RB0071","ACCT_RB0072","ACCT_RB0073","ACCT_RB0074","ACCT_RB0075","ACCT_RB0076","ACCT_RB0077","ACCT_RB0078","ACCT_RB0079","ACCT_RB0080","ACCT_RB0081","ACCT_RB0082","ACCT_RB0083","ACCT_RB0084","ACCT_RB0085","ACCT_RB0086","ACCT_RB0087","ACCT_RB0088","ACCT_RB0089","ACCT_RB0090","ACCT_RB0091","ACCT_RB0092","ACCT_RB0093","ACCT_RB0094","ACCT_RB0095","ACCT_RB0096","ACCT_RB0097","ACCT_RB0098","ACCT_RB0099","ACCT_RB0100","ACCT_RB0101","ACCT_RB0102","ACCT_RB0103","ACCT_RB0104","ACCT_RB0105","ACCT_RB0106","ACCT_RB0107","ACCT_RB0108","ACCT_RB0109","ACCT_RB0110","ACCT_RB0111","ACCT_RB0112","ACCT_RB0113","ACCT_RB0114","ACCT_RB0115","ACCT_RB0116","ACCT_RB0117","ACCT_RB0118","ACCT_RB0119","ACCT_RB0120","ACCT_RB0121","ACCT_RB0122","ACCT_RB0123","ACCT_RB0124","ACCT_RB0125","ACCT_RB0126","ACCT_RB0127","ACCT_RB0128","ACCT_RB0129","ACCT_RB0130","ACCT_RB0131","ACCT_RB0132","ACCT_RB0133","ACCT_RB0134","ACCT_RB0135","ACCT_RB0136","ACCT_RB0137","ACCT_RB0138","ACCT_RB0139","ACCT_RB0140","ACCT_RB0141","ACCT_RB0142","ACCT_RB0143","ACCT_RB0144","ACCT_RB0145","ACCT_RB0146","ACCT_RB0147","ACCT_RB0148","ACCT_RB0149","ACCT_RB0150","ACCT_RB0151","ACCT_RB0152","ACCT_RB0153","ACCT_RB0154","ACCT_RB0155","ACCT_RB0156","ACCT_RB0157","ACCT_RB0158","ACCT_RB0159","ACCT_RB0160","ACCT_RB0161","ACCT_RB0162","ACCT_RB0163","ACCT_RB0164","ACCT_RB0165","ACCT_RB0166","ACCT_RB0167","ACCT_RB0168","ACCT_RB0169","ACCT_RB0170","ACCT_RB0171","ACCT_RB0172","ACCT_RB0177","ACCT_RL0001","ACCT_RL0002","ACCT_RL0003","ACCT_RL0004","ACCT_RL0005","ACCT_RL0006","ACCT_RL0007","ACCT_RL0008","ACCT_RL0009","ACCT_RL0010","ACCT_RL0011","ACCT_RL0012","ACCT_RL0013","ACCT_RL0014","ACCT_RL0015","ACCT_RL0016","ACCT_RL0017","ACCT_RL0018","ACCT_RL0019","ACCT_RL0020","ACCT_RL0021","ACCT_RL0022","ACCT_RL0023","ACCT_RL0024","ACCT_RL0025","ACCT_RL0026","ACCT_RL0027","ACCT_RL0028","ACCT_RL0029","ACCT_RL0030","ACCT_RL0031","ACCT_RL0032","ACCT_RL0033","ACCT_RL0034","ACCT_RL0035","ACCT_RL0036","ACCT_RL0037","ACCT_RL0038","ACCT_RL0039","ACCT_RL0040","ACCT_RL0041","ACCT_RL0042","ACCT_RL0043","ACCT_RL0044","ACCT_RL0045","ACCT_RL0046","ACCT_RL0047","ACCT_RL0048","ACCT_RL0050","ACCT_SH0013","ACCT_SH0018","ACCT_SH0880","ACCT_SL0018","ACCT_SL0019","ACCT_SL0020","ACCT_SL0021","ACCT_SL0022","ACCT_SL0023","ACCT_SL0024","ACCT_SL0026","ACCT_SL0028","ACCT_SL0029","ACCT_SL0030","ACCT_SL0032","ACCT_SL0033","ACCT_SL0034","ACCT_SL0035","ACCT_LR0001","ACCT_LR0002","ACCT_LR0003","ACCT_LR0004","ACCT_LR0005","ACCT_LR0006","ACCT_LR0007","ACCT_LR0008","ACCT_LQ0060","ACCT_LQ0061","ACCT_LQ0062","ACCT_NW0004"
1,12/31/2025 0:00:00,2,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8743158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36664,36664,8706494,0,-36664,-36664,0,0,0,0,0,153072,0,104562,104562,0,0,0,0,0,0,0,13313120,67898,67898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13313120,0,0,36664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11840012,11840012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12/31/2025 0:00:00,7,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,19330273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175543417,0,0,0,0,0,0,0,1211292,0,0,0,0,0,0,0,0,2351357,2351357,210664031,0,-2351357,-2351357,0,0,0,0,0,17595941,0,2339888,2339888,0,0,0,0,0,0,0,283763684,-11469,-11469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283763684,0,0,2351357,97,16396567,2029600,80,5099926,170700,8,1249486,445000,17,953774,125650,0,0,0,23699753,2770950,121,6646059,2229000,0,0,0,0,0,0,107,5914868,1712400,12560927,3941400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,36260680,6712350,7850432,213570225,245574225,32004000,297,5078806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12/31/2025 0:00:00,11,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,3750340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23374565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277636,1277636,32284257,0,-1277636,-1277636,0,0,0,0,0,9568013,0,579108,579108,0,0,0,0,0,0,0,67209412,-698528,-698528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67209412,0,0,1277636,7,646552,0,60,3554649,1377924,0,0,0,0,0,0,0,0,0,4201201,1377924,112,5960741,2600300,0,0,0,0,0,0,2,25387,0,5986128,2600300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,10187329,3978224,0,61145569,61145569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12/31/2025 0:00:00,12,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,5520813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671448609,0,0,0,0,0,0,0,1065733,0,0,0,0,0,0,0,0,4062703,4062703,1087846514,0,-4062703,-4062703,0,0,0,0,0,58699293,0,10120156,10120156,0,0,0,0,0,0,0,1240594180,6057453,6057453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240594180,0,0,4062703,374,93517794,29719056,897,95432923,50143059,0,0,0,332,108720430,10157053,430,25689284,7157158,323360431,97176326,0,0,0,0,0,0,0,0,0,1746,96034444,31208325,96034444,31208325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3779,419394875,128384651,251191704,1005434144,1080042207,74608063,3,1065733,0,0,19,4596541,19,0,14,3517814,241,0,0,0,0,1,125134726,1008,0,0,0,0,0,0,0,0,0
16,12/31/2025 0:00:00,14,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,40341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2839711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43140,43140,3521523,0,-43140,-43140,0,0,0,0,0,156386,0,80491,80491,0,0,0,0,0,0,0,8684582,37351,37351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8684582,0,0,43140,3,264863,264863,1,63949,63949,6,235379,235379,0,0,0,0,0,0,564191,564191,5,112328,112328,4,48431,48431,0,0,0,0,0,0,160759,160759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,724950,724950,0,7418860,7418860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12/31/2025 0:00:00,16,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,7651857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1422548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30588,30588,1391960,0,-30588,-30588,0,0,0,0,0,99941,0,65179,65179,0,0,0,0,0,0,0,10172708,34591,34591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10172708,0,0,30588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6935130,6935130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2025 0:00:00,17,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,41377361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91648891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508480,1508480,237861777,0,-1508480,-1508480,0,0,0,0,0,8733695,0,2750354,2750354,0,0,0,0,0,0,0,354175842,1241874,1241874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354175842,0,0,1508480,26,6321725,520818,30,4067660,0,0,0,0,0,0,0,5,685330,0,11074715,520818,968,67314782,8649170,0,0,0,0,0,0,1751,69331869,37979708,136646651,46628878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2780,147721366,47149696,88416206,292927209,292927209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5325095,0,186429
26,12/31/2025 0:00:00,19,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,111464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4595862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49714,49714,5617081,0,-49714,-49714,0,0,0,0,0,399839,0,182886,182886,0,0,0,0,0,0,0,21831576,133172,133172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21831576,0,0,49714,0,0,0,17,1070933,125000,0,0,0,0,0,0,0,0,0,1070933,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1070933,125000,0,19453698,19453698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2025 0:00:00,21,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,80090913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568901228,0,0,0,0,0,0,0,138674888,0,0,0,0,0,0,-1316903,0,22232108,22232108,1236815441,-1316903,-22232108,-22232108,0,0,0,0,0,128269498,0,11401128,11401128,0,0,0,0,0,0,0,1462498628,-10830980,-10830980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462498628,0,0,22232108,1113,214234057,95036238,675,49003256,4030185,4,234399,0,0,0,0,295,76814386,2948800,340286098,102015223,1332,62720750,23266278,0,0,0,0,0,0,2944,147147682,80407237,209868432,103673515,6,220389,35000,0,0,0,0,0,0,9,182316,0,402705,35000,6378,550557235,205723738,196440914,1200978380,1220539380,19561000,10,23895126,0,0,195,47705195,195,0,195,47705195,3149,0,0,1307,17841285,1,111668068,763,0,0,0,0,0,0,23973266,0,1863476
42,12/31/2025 0:00:00,29,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,24784000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30399551,0,0,0,0,0,0,0,282792,0,0,0,0,0,0,0,0,472120,472120,91457095,0,-472120,-472120,0,0,0,0,0,4571110,0,1244781,1244781,0,0,0,0,0,0,0,156073004,772661,772661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156073004,0,0,472120,93,20647222,11390675,99,7971307,0,0,0,0,0,0,0,1,109796,0,28728325,11390675,256,15288321,3891235,49,1837612,0,0,0,0,272,15392615,8377100,32518548,12268335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,61246873,23659010,17340023,137325158,137325158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33057
